from,to,value
FASLG,FAS,1
KIR3DL3,HLA-A,3
KIR2DL1,HLA-A,3
KIR2DL2,HLA-A,3
KIR2DL3,HLA-A,3
KIR3DL1,HLA-A,3
KIR3DL2,HLA-A,3
KLRC1,HLA-A,3
KLRD1,HLA-A,3
KIR2DL5A,HLA-A,3
KIR3DL3,HLA-B,3
KIR2DL1,HLA-B,3
KIR2DL2,HLA-B,3
KIR2DL3,HLA-B,3
KIR3DL1,HLA-B,3
KIR3DL2,HLA-B,3
KLRC1,HLA-B,3
KLRD1,HLA-B,3
KIR2DL5A,HLA-B,3
KIR3DL3,HLA-C,3
KIR2DL1,HLA-C,3
KIR2DL2,HLA-C,3
KIR2DL3,HLA-C,3
KIR3DL1,HLA-C,3
KIR3DL2,HLA-C,3
KLRC1,HLA-C,3
KLRD1,HLA-C,3
KIR2DL5A,HLA-C,3
KIR3DL3,HLA-E,3
KIR2DL1,HLA-E,3
KIR2DL2,HLA-E,3
KIR2DL3,HLA-E,3
KIR3DL1,HLA-E,3
KIR3DL2,HLA-E,3
KLRC1,HLA-E,3
KLRD1,HLA-E,3
KIR2DL5A,HLA-E,3
KIR3DL3,HLA-F,3
KIR2DL1,HLA-F,3
KIR2DL2,HLA-F,3
KIR2DL3,HLA-F,3
KIR3DL1,HLA-F,3
KIR3DL2,HLA-F,3
KLRC1,HLA-F,3
KLRD1,HLA-F,3
KIR2DL5A,HLA-F,3
KIR3DL3,HLA-G,3
KIR2DL1,HLA-G,3
KIR2DL2,HLA-G,3
KIR2DL3,HLA-G,3
KIR3DL1,HLA-G,3
KIR3DL2,HLA-G,3
KLRC1,HLA-G,3
KLRD1,HLA-G,3
KIR2DL5A,HLA-G,3
CD80,CD28,1
CD86,CD28,1
HLA-A,KIR3DL3,3
HLA-B,KIR3DL3,3
HLA-C,KIR3DL3,3
HLA-E,KIR3DL3,3
HLA-F,KIR3DL3,3
HLA-G,KIR3DL3,3
HLA-A,KIR2DL1,3
HLA-B,KIR2DL1,3
HLA-C,KIR2DL1,3
HLA-E,KIR2DL1,3
HLA-F,KIR2DL1,3
HLA-G,KIR2DL1,3
HLA-A,KIR2DL2,3
HLA-B,KIR2DL2,3
HLA-C,KIR2DL2,3
HLA-E,KIR2DL2,3
HLA-F,KIR2DL2,3
HLA-G,KIR2DL2,3
HLA-A,KIR2DL3,3
HLA-B,KIR2DL3,3
HLA-C,KIR2DL3,3
HLA-E,KIR2DL3,3
HLA-F,KIR2DL3,3
HLA-G,KIR2DL3,3
HLA-A,KIR3DL1,3
HLA-B,KIR3DL1,3
HLA-C,KIR3DL1,3
HLA-E,KIR3DL1,3
HLA-F,KIR3DL1,3
HLA-G,KIR3DL1,3
HLA-A,KIR3DL2,3
HLA-B,KIR3DL2,3
HLA-C,KIR3DL2,3
HLA-E,KIR3DL2,3
HLA-F,KIR3DL2,3
HLA-G,KIR3DL2,3
HLA-A,KLRC1,3
HLA-B,KLRC1,3
HLA-C,KLRC1,3
HLA-E,KLRC1,3
HLA-F,KLRC1,3
HLA-G,KLRC1,3
HLA-A,KLRD1,3
HLA-B,KLRD1,3
HLA-C,KLRD1,3
HLA-E,KLRD1,3
HLA-F,KLRD1,3
HLA-G,KLRD1,3
HLA-A,KIR2DL5A,3
HLA-B,KIR2DL5A,3
HLA-C,KIR2DL5A,3
HLA-E,KIR2DL5A,3
HLA-F,KIR2DL5A,3
HLA-G,KIR2DL5A,3
