from,to,weight
EHHADH,HADH,3
EHHADH,ACAT1,3
EHHADH,ACAT2,3
HADH,ACAT1,3
HADH,ACAT2,3
IDO2,AFMID,3
IDO2,KYNU,3
IDO1,AFMID,3
IDO1,KYNU,3
ASMT,IDO2,3
ASMT,IDO1,3
ASMT,CYP1A1,3
ASMT,CYP1A2,3
ASMT,CYP1B1,3
AANAT,ASMT,3
MAOA,ALDH2,3
MAOA,ALDH1B1,3
MAOA,ALDH9A1,3
MAOA,ALDH3A2,3
MAOA,ALDH7A1,3
MAOA,AOX1,3
MAOB,ALDH2,3
MAOB,ALDH1B1,3
MAOB,ALDH9A1,3
MAOB,ALDH3A2,3
MAOB,ALDH7A1,3
MAOB,AOX1,3
DDC,IDO2,3
DDC,IDO1,3
DDC,AANAT,3
DDC,MAOA,3
DDC,MAOB,3
DDC,proteasome.,3
DDC,INMT,3
AFMID,DDC,3
AFMID,KYNU,3
AFMID,KMO,3
AFMID,AADAT,3
AFMID,KYAT3,3
AFMID,KYAT1,3
ECHS1,EHHADH,3
ECHS1,HADH,3
HADHA,EHHADH,3
HADHA,HADH,3
GCDH,EHHADH,3
GCDH,ECHS1,3
GCDH,HADHA,3
DLD,GCDH,3
DLST,GCDH,3
DHTKD1,GCDH,3
ACMSD,ALDH8A1,3
HAAO,ACMSD,3
KYNU,CAT,3
KYNU,AFMID,3
KYNU,HAAO,3
KMO,KYNU,3
KMO,AADAT,3
KMO,KYAT3,3
KMO,KYAT1,3
TDO2,AFMID,3
TDO2,KYNU,3
TPH2,IDO2,3
TPH2,IDO1,3
TPH2,DDC,3
TPH1,IDO2,3
TPH1,IDO1,3
TPH1,DDC,3
ALDH2,ASMT,3
ALDH1B1,ASMT,3
ALDH9A1,ASMT,3
ALDH3A2,ASMT,3
ALDH7A1,ASMT,3
AOX1,ASMT,3
proteasome.,ALDH2,3
proteasome.,ALDH1B1,3
proteasome.,ALDH9A1,3
proteasome.,ALDH3A2,3
proteasome.,ALDH7A1,3
