from,to,weight
DLD,OGDH,3
DLD,OGDHL,3
DLD,DLST,3
DLD,PDHA1,3
DLD,PDHA2,3
DLD,PDHB,3
DLD,DLAT,3
OGDH,OGDHL,3
OGDH,DLST,3
OGDHL,OGDH,3
OGDHL,DLST,3
DLST,DLD,3
DLST,SUCLG2,3
DLST,SUCLG1,3
DLST,SUCLA2,3
SUCLG2,DLST,3
SUCLG2,SUCLG1,3
SUCLG2,SUCLA2,3
SUCLG2,SDHA,3
SUCLG2,SDHB,3
SUCLG2,SDHC,3
SUCLG2,SDHD,3
SUCLG1,DLST,3
SUCLG1,SUCLG2,3
SUCLG1,SUCLA2,3
SUCLG1,SDHA,3
SUCLG1,SDHB,3
SUCLG1,SDHC,3
SUCLG1,SDHD,3
SUCLA2,DLST,3
SUCLA2,SUCLG2,3
SUCLA2,SUCLG1,3
SUCLA2,SDHA,3
SUCLA2,SDHB,3
SUCLA2,SDHC,3
SUCLA2,SDHD,3
IDH1,OGDH,3
IDH1,OGDHL,3
IDH1,IDH2,3
IDH1,IDH3A,3
IDH1,IDH3B,3
IDH1,IDH3G,3
IDH1,ACO1,3
IDH1,ACO2,3
IDH2,OGDH,3
IDH2,OGDHL,3
IDH2,IDH1,3
IDH2,IDH3A,3
IDH2,IDH3B,3
IDH2,IDH3G,3
IDH2,ACO1,3
IDH2,ACO2,3
IDH3A,OGDH,3
IDH3A,OGDHL,3
IDH3A,IDH1,3
IDH3A,IDH2,3
IDH3A,ACO1,3
IDH3A,ACO2,3
IDH3B,OGDH,3
IDH3B,OGDHL,3
IDH3B,IDH1,3
IDH3B,IDH2,3
IDH3B,ACO1,3
IDH3B,ACO2,3
IDH3G,OGDH,3
IDH3G,OGDHL,3
IDH3G,IDH1,3
IDH3G,IDH2,3
IDH3G,ACO1,3
IDH3G,ACO2,3
ACLY,ACO1,3
ACLY,ACO2,3
ACLY,CS,3
ACLY,MDH1,3
ACLY,MDH2,3
ACLY,DLAT,3
ACLY,PCK1,3
ACLY,PCK2,3
FH,MDH1,3
FH,MDH2,3
FH,SDHA,3
FH,SDHB,3
FH,SDHC,3
FH,SDHD,3
ACO1,IDH1,3
ACO1,IDH2,3
ACO1,IDH3A,3
ACO1,IDH3B,3
ACO1,IDH3G,3
ACO1,ACLY,3
ACO1,ACO2,3
ACO1,CS,3
ACO2,IDH1,3
ACO2,IDH2,3
ACO2,IDH3A,3
ACO2,IDH3B,3
ACO2,IDH3G,3
ACO2,ACLY,3
ACO2,ACO1,3
ACO2,CS,3
CS,ACLY,3
CS,ACO1,3
CS,ACO2,3
CS,MDH1,3
CS,MDH2,3
CS,DLAT,3
CS,PCK1,3
CS,PCK2,3
MDH1,ACLY,3
MDH1,FH,3
MDH1,CS,3
MDH1,PCK1,3
MDH1,PCK2,3
MDH2,ACLY,3
MDH2,FH,3
MDH2,CS,3
MDH2,PCK1,3
MDH2,PCK2,3
PC,ACLY,3
PC,CS,3
PC,MDH1,3
PC,MDH2,3
PC,PCK1,3
PC,PCK2,3
PDHA1,PDHA2,3
PDHA1,PDHB,3
PDHA1,DLAT,3
PDHA2,PDHA1,3
PDHA2,PDHB,3
PDHA2,DLAT,3
PDHB,PDHA1,3
PDHB,PDHA2,3
PDHB,DLAT,3
DLAT,DLD,3
DLAT,ACLY,3
DLAT,CS,3
SDHA,SUCLG2,3
SDHA,SUCLG1,3
SDHA,SUCLA2,3
SDHA,FH,3
SDHB,SUCLG2,3
SDHB,SUCLG1,3
SDHB,SUCLA2,3
SDHB,FH,3
SDHC,SUCLG2,3
SDHC,SUCLG1,3
SDHC,SUCLA2,3
SDHC,FH,3
SDHD,SUCLG2,3
SDHD,SUCLG1,3
SDHD,SUCLA2,3
SDHD,FH,3
